Date,Open,High,Low,Close,Volume
2018-09-05,115.73,116.45,115.54,115.69,302821
2018-09-04,117.33,117.56,116.82,117.17,254689
2018-08-31,119.66,119.83,118.89,119.16,158883
2018-08-30,120.67,121.09,119.87,120.29,172079
2018-08-29,121.82,122.71,121.71,122.42,259339
2018-08-28,121.71,122.05,121.02,121.07,176175
2018-08-27,120.62,121.97,120.25,121.45,385866
2018-08-24,118.14,118.25,117.61,117.97,97009
2018-08-23,118.35,118.35,117.22,117.41,191964
2018-08-22,119.58,119.81,118.67,118.83,273761
2018-08-21,118.07,118.07,117.64,117.71,190362
2018-08-20,117.89,118.65,117.89,118.38,131585
2018-08-17,117.76,118.64,117.58,118.39,140792
2018-08-16,117.16,118.24,117.08,117.89,138408
2018-08-15,117.7,117.7,116.61,117.01,199374
2018-08-14,119.01,119.01,118.36,118.56,136434
2018-08-13,119.14,119.39,118.58,118.6,238723
2018-08-10,120.09,120.09,119.21,119.3,242649
2018-08-09,121.48,121.48,120.44,120.47,199032
2018-08-08,122.69,122.69,122.01,122.05,217036
2018-08-07,123.64,124.02,123.38,123.43,282065
2018-08-06,123.37,123.59,122.98,123.36,206348
2018-08-03,125.23,126.42,124.62,126.09,164175
2018-08-02,125.36,125.9,124.79,125.86,124251
2018-08-01,127.24,127.89,125.99,126.41,137252
2018-07-31,126.74,127.04,126.44,126.61,206944
2018-07-30,129.49,130.19,129.46,129.62,156104
2018-07-27,129.05,129.42,128.65,129.12,178155
2018-07-26,127.9,128.3,127.71,128.04,141316
2018-07-25,126.36,127.09,124.66,126.97,281934
2018-07-24,127.5,127.89,126.97,127.32,123116
2018-07-23,126.22,126.59,126.04,126.5,132491
2018-07-20,126.86,127.02,126.5,126.57,135605
2018-07-19,126.49,126.78,126.24,126.54,112212
2018-07-18,127.35,127.68,126.73,126.85,189790
2018-07-17,125.6,126.7,125.51,126.23,141393
2018-07-16,124.56,124.56,124.27,124.38,104725
2018-07-13,124.0,124.52,123.96,124.38,78793
2018-07-12,123.94,124.22,123.7,124.06,82999
2018-07-11,123.58,123.63,122.72,122.97,78400
2018-07-10,124.06,124.31,123.89,124.14,125094
2018-07-09,125.07,125.62,125.07,125.51,72407
2018-07-06,124.3,124.78,123.97,124.42,87784
2018-07-05,123.29,124.17,123.29,123.95,125824
2018-07-03,123.24,123.26,122.2,122.34,100474
2018-07-02,122.46,122.97,121.96,122.85,105731
2018-06-29,124.26,124.74,123.66,123.69,183974
2018-06-28,123.05,124.26,122.97,123.97,180604
2018-06-27,123.54,123.54,122.06,122.07,337071
2018-06-26,124.14,124.62,123.52,124.08,174304
2018-06-25,124.69,124.82,123.14,123.47,214172
2018-06-22,126.66,126.7,125.53,125.81,218219
2018-06-21,128.29,128.29,126.95,127.4,162038
2018-06-20,129.83,129.93,128.93,129.03,122460
2018-06-19,130.41,130.78,130.15,130.74,164847
2018-06-18,130.24,131.14,130.21,131.11,141007
2018-06-15,130.83,130.97,129.85,130.42,156650
2018-06-14,130.03,130.4,129.95,130.07,79964
2018-06-13,130.45,130.54,129.92,130.04,117022
2018-06-12,129.36,129.62,129.05,129.21,234329
2018-06-11,131.07,132.1,131.06,131.71,99212
2018-06-08,130.98,130.99,130.4,130.8,111526
2018-06-07,131.34,131.97,131.01,131.04,243170
2018-06-06,130.63,130.77,130.01,130.76,147327
2018-06-05,128.17,128.44,128.07,128.17,98577
2018-06-04,129.88,129.92,128.86,128.95,187940
2018-06-01,126.08,126.64,125.73,126.1,235171
2018-05-31,122.77,123.06,122.05,122.88,385303
2018-05-30,121.62,122.61,121.57,122.18,299546
2018-05-29,122.37,122.76,121.34,121.67,287980
2018-05-25,124.65,125.06,124.46,124.8,213349
2018-05-24,127.14,127.55,126.56,127.18,272671
2018-05-23,129.26,129.53,128.52,129.49,110716
2018-05-22,131.09,131.09,130.28,130.36,125362
2018-05-21,131.08,131.16,130.63,131.04,85185
2018-05-18,131.09,131.09,130.29,130.64,175548
2018-05-17,131.56,131.62,131.05,131.25,76170
2018-05-16,131.49,132.19,131.41,131.91,105227
2018-05-15,131.03,131.05,130.54,130.81,154872
2018-05-14,132.56,132.95,132.53,132.66,102982
2018-05-11,132.51,132.68,132.13,132.59,146390
2018-05-10,132.87,133.17,132.67,132.9,206568
2018-05-09,129.78,130.88,129.6,130.88,380039
2018-05-08,125.44,125.79,125.28,125.71,139304
2018-05-07,126.18,126.71,125.95,126.29,119032
2018-05-04,124.74,126.11,124.41,126.11,114311
2018-05-03,124.77,125.34,123.98,124.95,113991
2018-05-02,125.81,125.81,124.94,125.02,132366
2018-05-01,125.5,125.81,124.99,125.78,132341
2018-04-30,126.05,126.61,125.62,125.79,178090
